X_Au_ITO_7.7eV.17,Y_Au_ITO_7.7eV.17#1,Y_Au_ITO_7.7eV.17#2,Y_Au_ITO_7.7eV.17#3,Y_Au_ITO_7.7eV.17#4,Y_Au_ITO_7.7eV.17#5,Y_Au_ITO_7.7eV.17#6,Y_Au_ITO_7.7eV.17#7,Y_Au_ITO_7.7eV.17#8,Y_Au_ITO_7.7eV.17#9,Y_Au_ITO_7.7eV.17#10,Y_Au_ITO_7.7eV.17
13.36288933,16.8,7.6,10,8.4,9.866666667,10.66666667,8,10.13333333,9.333333333,9.2,10
13.38196281,11.46666667,4,6.933333333,4.666666667,4.8,7.6,5.466666667,6,6.133333333,6.133333333,6.32
13.40103629,4.8,3.333333333,4.533333333,4.266666667,2.8,4.933333333,3.466666667,2.8,3.733333333,4.8,3.946666667
13.42010978,2.4,2.133333333,2.266666667,3.466666667,2.4,2.133333333,1.866666667,1.733333333,1.733333333,2.533333333,2.266666667
13.43918326,2,1.2,2.266666667,1.6,1.2,0.933333333,1.066666667,1.2,0.8,1.866666667,1.413333333
13.45825674,1.333333333,0.266666667,1.2,0.8,0.666666667,0.8,0.266666667,0.4,0.666666667,0.8,0.72
13.47733022,0.666666667,0.133333333,0.4,0.533333333,0.533333333,0.4,0.133333333,0.266666667,0.533333333,0.666666667,0.426666667
13.49640371,0.533333333,0,0.133333333,0.266666667,0.133333333,0.533333333,0.133333333,0.266666667,0.266666667,0.666666667,0.293333333
13.51547719,0.533333333,0.4,0.266666667,0.133333333,0.133333333,0.533333333,0.133333333,0,0.133333333,0.4,0.266666667
13.53455067,0.266666667,0.133333333,0.266666667,0.266666667,0.4,0.133333333,0,0.133333333,0.133333333,0.266666667,0.2
13.55362416,0.133333333,0.133333333,0.133333333,0.133333333,0,0,0.133333333,0.133333333,0,0.133333333,0.093333333
13.57269764,0.266666667,0.133333333,0.133333333,0.133333333,0.266666667,0.133333333,0,0.133333333,0.133333333,0.133333333,0.146666667
13.59177112,0.133333333,0,0.133333333,0.133333333,0.133333333,0,0,0.133333333,0,0.133333333,0.08
13.61084461,0.133333333,0,0,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0,0,0.08
13.62991809,0,0.133333333,0,0,0.133333333,0.133333333,0.133333333,0.266666667,0.266666667,0,0.106666667
13.64899157,0,0.133333333,0,0,0.133333333,0.133333333,0,0,0.133333333,0,0.053333333
13.66806506,0,0.133333333,0,0,0.133333333,0,0,0,0,0,0.026666667
13.68713854,0.133333333,0,0,0,0.133333333,0,0,0.266666667,0,0,0.053333333
13.70621202,0,0,0,0,0,0.133333333,0.133333333,0.133333333,0,0.133333333,0.053333333
13.72528551,0,0,0.133333333,0,0,0.133333333,0,0,0.133333333,0,0.04
13.74435899,0.133333333,0,0,0.133333333,0,0,0,0,0.133333333,0,0.04
13.76343247,0,0,0.133333333,0.133333333,0,0,0,0,0,0.133333333,0.04
13.78250596,0,0,0.133333333,0,0,0,0,0,0,0,0.013333333
13.80157944,0,0,0,0,0,0,0,0,0,0.133333333,0.013333333
13.82065292,0.133333333,0,0,0,0,0,0,0,0,0,0.013333333
13.8397264,0,0,0,0,0,0.133333333,0,0.133333333,0,0,0.026666667
13.85879989,0.133333333,0,0,0,0.133333333,0.133333333,0,0,0,0,0.04
13.87787337,0.133333333,0,0.133333333,0,0,0,0,0.133333333,0,0,0.04
13.89694685,0,0,0,0.133333333,0,0,0,0,0,0.133333333,0.026666667
13.91602034,0,0,0.133333333,0,0,0,0,0,0,0,0.013333333
13.93509382,0,0.133333333,0,0,0,0,0,0,0,0,0.013333333
13.9541673,0,0,0,0,0,0.133333333,0,0,0,0,0.013333333
13.97324079,0,0,0,0,0,0,0,0,0.133333333,0,0.013333333
13.99231427,0,0,0.133333333,0,0,0,0,0.133333333,0,0.133333333,0.04
14.01138775,0,0.133333333,0.133333333,0,0,0.133333333,0,0,0,0,0.04
14.03046124,0,0,0,0,0,0,0,0,0,0,0
14.04953472,0,0,0,0,0,0,0,0.133333333,0,0,0.013333333
14.0686082,0,0,0,0,0.133333333,0,0,0,0,0,0.013333333
14.08768169,0,0,0,0,0,0,0,0,0,0,0
14.10675517,0.133333333,0,0,0,0,0,0,0,0,0,0.013333333
14.12582865,0,0,0,0.133333333,0,0,0,0,0,0,0.013333333
14.14490213,0,0,0,0,0,0,0,0,0,0,0
14.16397562,0,0,0,0,0,0,0,0,0,0,0
14.1830491,0,0.133333333,0,0,0,0,0,0,0,0,0.013333333
14.20212258,0,0,0,0,0,0,0,0,0.133333333,0,0.013333333
14.22119607,0,0,0,0,0,0,0,0,0,0,0
14.24026955,0,0,0,0,0,0,0,0,0,0,0
14.25934303,0,0,0,0,0,0,0,0.133333333,0,0,0.013333333
14.27841652,0,0,0,0,0,0,0,0,0,0,0
14.29749,0,0,0,0.133333333,0,0,0,0,0,0,0.013333333
14.31656348,0,0,0,0,0,0,0,0,0.133333333,0,0.013333333
14.33563697,0,0,0,0,0,0,0,0,0,0,0
14.35471045,0.133333333,0,0,0,0,0,0,0.133333333,0.133333333,0,0.04
14.37378393,0,0,0,0,0,0,0,0,0,0,0
14.39285742,0,0,0,0,0,0.133333333,0,0,0,0,0.013333333
14.4119309,0,0,0,0,0,0,0.133333333,0,0,0,0.013333333
14.43100438,0,0,0,0,0,0,0.133333333,0,0,0,0.013333333
14.45007787,0,0,0,0,0,0,0,0,0,0,0
14.46915135,0,0,0,0,0,0,0,0,0,0,0
14.48822483,0,0,0,0,0,0,0,0,0,0,0
14.50729831,0,0,0,0,0,0,0,0,0,0,0
14.5263718,0,0,0,0,0,0,0,0,0,0,0
14.54544528,0,0,0,0,0,0,0,0,0,0,0
14.56451876,0,0,0,0,0,0,0,0,0,0,0
14.58359225,0,0,0,0,0,0.133333333,0,0,0,0.133333333,0.026666667
14.60266573,0,0,0,0,0.133333333,0,0,0,0,0,0.013333333
14.62173921,0,0,0,0,0,0,0,0,0,0,0
14.6408127,0,0,0,0,0,0,0,0,0,0,0
14.65988618,0,0,0,0,0,0,0,0,0,0,0
14.67895966,0,0.133333333,0,0,0,0,0,0,0,0,0.013333333
14.69803315,0,0,0,0,0,0,0,0,0,0,0
14.71710663,0.133333333,0,0,0,0,0,0,0,0,0,0.013333333
14.73618011,0,0,0,0,0,0,0,0,0,0,0
14.7552536,0.133333333,0,0,0,0,0,0,0,0,0,0.013333333
14.77432708,0,0,0,0,0,0,0.133333333,0,0,0,0.013333333
14.79340056,0.133333333,0,0,0,0,0.133333333,0,0,0,0,0.026666667
14.81247404,0,0,0,0,0,0,0,0,0,0,0
14.83154753,0,0,0,0,0,0,0,0,0,0,0
14.85062101,0,0,0,0.133333333,0,0,0,0,0,0,0.013333333
14.86969449,0,0,0,0,0,0,0.133333333,0,0,0,0.013333333
14.88876798,0,0,0,0,0,0,0,0,0.133333333,0,0.013333333
14.90784146,0,0,0,0.133333333,0,0,0,0,0.133333333,0,0.026666667
14.92691494,0,0,0,0,0,0,0,0,0,0,0
14.94598843,0,0,0,0,0,0,0,0,0,0,0
14.96506191,0.133333333,0.133333333,0.133333333,0,0,0,0,0,0,0,0.04
14.98413539,0,0,0,0,0,0,0,0,0,0.133333333,0.013333333
15.00320888,0,0,0,0,0,0,0,0,0,0,0
15.02228236,0,0,0,0,0,0,0,0,0,0,0
15.04135584,0,0,0,0,0,0,0,0,0,0,0
15.06042933,0,0,0,0,0,0.133333333,0,0,0,0,0.013333333
15.07950281,0,0,0.133333333,0,0,0,0,0,0.133333333,0,0.026666667
15.09857629,0,0.133333333,0,0,0,0,0,0,0,0,0.013333333
15.11764978,0,0.133333333,0,0,0,0,0,0,0,0,0.013333333
15.13672326,0,0,0,0,0,0,0,0,0,0,0
15.15579674,0,0.133333333,0,0,0,0,0,0,0,0,0.013333333
15.17487022,0,0,0,0.133333333,0,0,0,0,0,0.133333333,0.026666667
15.19394371,0,0,0,0,0,0,0,0,0,0,0
15.21301719,0,0,0.133333333,0,0,0,0,0,0,0,0.013333333
15.23209067,0,0,0,0,0,0,0,0.133333333,0,0,0.013333333
15.25116416,0,0,0,0,0,0,0,0,0,0,0
15.27023764,0,0,0.133333333,0,0.133333333,0,0,0,0,0,0.026666667
15.28931112,0,0,0,0,0,0,0.133333333,0,0,0,0.013333333
15.30838461,0,0,0.133333333,0,0,0,0,0,0,0,0.013333333
15.32745809,0,0,0,0,0,0,0,0,0,0,0
15.34653157,0,0,0.133333333,0,0.133333333,0,0,0,0,0,0.026666667
15.36560506,0.133333333,0,0,0,0,0,0,0,0,0,0.013333333
15.38467854,0,0,0,0,0.133333333,0,0,0,0.133333333,0,0.026666667
15.40375202,0,0,0.133333333,0,0,0,0,0,0,0,0.013333333
15.42282551,0,0,0,0,0,0,0,0,0,0,0
15.44189899,0.133333333,0,0,0,0,0,0,0,0,0.133333333,0.026666667
15.46097247,0,0,0,0,0.133333333,0,0,0,0,0,0.013333333
15.48004596,0,0,0,0,0,0,0,0,0,0.133333333,0.013333333
15.49911944,0,0,0,0,0,0,0,0,0,0,0
15.51819292,0.133333333,0,0,0,0,0,0,0,0,0.133333333,0.026666667
15.5372664,0,0,0,0,0,0,0,0,0,0,0
15.55633989,0,0,0,0.133333333,0,0,0,0,0,0,0.013333333
15.57541337,0,0,0,0,0,0,0,0,0,0,0
15.59448685,0,0,0.133333333,0,0,0,0,0,0,0,0.013333333
15.61356034,0,0,0,0,0,0,0,0,0,0.133333333,0.013333333
15.63263382,0,0,0,0.133333333,0,0,0,0,0,0,0.013333333
15.6517073,0,0,0,0.133333333,0,0,0,0,0.133333333,0,0.026666667
15.67078079,0.133333333,0,0,0,0,0,0,0,0,0,0.013333333
15.68985427,0,0,0,0,0,0,0,0,0,0.133333333,0.013333333
15.70892775,0,0,0,0,0,0,0,0,0,0,0
15.72800124,0,0,0,0,0,0,0,0,0,0.133333333,0.013333333
15.74707472,0,0,0,0,0,0,0,0,0,0,0
15.7661482,0,0,0,0,0,0,0.133333333,0,0,0,0.013333333
15.78522169,0,0,0,0,0,0,0,0,0,0,0
15.80429517,0.133333333,0,0,0,0,0.133333333,0,0,0,0,0.026666667
15.82336865,0,0,0,0,0,0,0,0,0,0,0
15.84244213,0,0,0,0,0,0,0,0,0,0,0
15.86151562,0,0,0,0,0.133333333,0,0,0,0,0,0.013333333
15.8805891,0,0,0,0,0,0,0,0,0,0,0
15.89966258,0,0,0,0,0,0,0,0,0,0,0
15.91873607,0,0,0,0,0,0,0,0,0,0,0
15.93780955,0,0,0,0,0,0,0,0,0,0,0
15.95688303,0,0,0,0,0,0.133333333,0,0,0.133333333,0,0.026666667
15.97595652,0,0,0,0,0,0.133333333,0,0,0,0,0.013333333
15.99503,0,0,0,0,0,0,0,0,0,0,0
